Ы,,Скидочные условия на разовую покупку: ,,,,,
"Мин. заказ на позицию и шаг 250 гр для рассыпных, 1 шт для пресса",,От 30 000,2%,От 250 000,12%,,
Доставка по РФ компанией СДЭК,,От 40 000 ,3%,От 300 000 ,13%,,
,,От 60 000,4%,От 350 000,14%,,
,,От 80 000,5%,От 400 000,15%,,
Статус наличия:,,От 100 000,6%,От 450 000,16%,,
"Есть в наличии г. Пермь, ул. Луначарского 62 ""Айрочай""",,От 120 000,7%,От 500 000 ,17%,,
Скоро в наличии,,От 140 000 ,8%,От 550 000,18%,,
Под заказ,,От 160 000,9%,От 600 000,19%,,
Временно нет в наличии,,От 180 000,10%,От 700 000,20%,,
Скидка 5%,,От 200 000,11%,Заказы при больших суммах рассматриваются на индивидуальных условиях.,,,
,,,,,,,
Наименование,"Вес, кг","Цена, ₽",Кол-во,"Всего, ₽",Описание,Ссылка на фото,Фасовка
Да Лао Ча Тоу Экстра,1,5995,,0,"Лао Ча Тоу переводится как «Старые чайные головы». Ферментация чайных листьев длится около года. Сначала их влажными складывают в кучи, и со временем по краям таких чайных «гор» образуются слежавшиеся комки. В них ферментация идет еще медленнее, вот почему их называют старыми головами. Настой: темно-коричневый. Аромат: пряный, древесный с нотками камфоры. Слышно аромат этакой подвальной сырости домика в деревне, где живут бабушка с дедом и готовят на зиму кладовую с картошкой и консервацией, очень уютный аромат. Вкус: мягкий, густой и бархатный со сладкими и пряными нотами. Послевкусие слегка горьковатое с ощутимой кислинкой. Эффект: опьяняет ощущением трезвости, в зависимости от обстановки и настроения способен расслабить и прояснить мысли так и способен сконцентрировать и хорошо взбодрить с утра, мыслительные процессы становится четче и быстрее. Заваривание: чайные головы очень медленно раскрываются, отлично подходят для заваривания в термосе и варке, в проливах тоже интересно раскрывается, вкус играет разными гранями. Лейте кипятком обязательно, тогда чайная голова раскроется и заиграет полным букетом вкуса и аромата. Чайные головы обогащены активными веществами, такими как теин (чайный кофеин не имеющий побочных эффектов и действующий дольше по времени), L-теанин (природная аминокислота ускоряющая и улучшающая прохождение нервных импульсов, иными словами поднимает настроение и расслабляет) и теофиллин (регулятор нервной системы, который положительно воздействует на психическое и эмоциональное состояние, тонизирует дыхательные мышцы, благодаря чему организм получает больше кислорода) Этот пуэр способен выводить из депрессивного состояния и больше никогда его не допускать, чистые факты, растительные вещества помогают улучшить настроение, а в дальнейшем психика человека настраивается на том, чтобы всегда быть в таком состоянии, даже без употребления Лао Ча Тоу.",,
"Шу в Мандарине, Премиум 30гр.",1,4990,,0,,,
Квадратик Ноу Ми Сян,1,2420,,0,,,
Лао Ча Тоу,1,2445,,0,,,
Россыпь Шу Цзинь Я,1,1995,,0,,,
Ча Хуа Ши Суи,1,3480,,0,,,
Пуэр Шэн россыпь,,,,,,,
"Шэн Цзяо Чунь с горы У Льян Шань, 2023 г.",1,4795,,0,,,
"Пурпурный Шэн Цзы Ча, 2022г.",1,6995,,0,,,
Смола ,,,,,,,
"Ча Гао Шэн ""NEW""",1,9995,,0,,,
"Ча Гао Шу ""NEW""",1,9995,,0,,,
Ча Гао Шу,1,9995,,0,,,
"Ча Гао Шу, Цяо Му",1,11995,,0,,,
Ча Гао Шэн,1,9990,,0,,,
Гуандунский улун,,,,,,,
"ФХДЦ Я Ши Сян, осень 2025г.",1,6995,,0,,,
"Даньцун Ми Лан Сян, 1с",1,4995,,0,,,
"Даньцун Я Ши Сян, 1с",1,4995,,0,,,
ФХДЦ Я Ши Сян 35,1,4995,,0,,,
ФХДЦ Ми Лан Сян 35,1,4995,,0,,,
"Даньцун Я Ши Сян, вс, Весна 2025 г.",1,5995,,0,,,
Северо-фуцзяньский улун,,,,,,,
Шуйсянь Цин Сян Хуа Сян,1,4995,,0,"Нежный сливочно-сладкий ДХП! Далее раскрывается в древесную легкую обволакивающую терпкость, которая совершенно не мешает сливочности! Отлично проливается медленно и равномерно отдавая вкус, эффект так же плавно наступающий, подрасслабило тело, концентрация повысилась! Супер хороший ДХП на каждый день!",https://disk.yandex.ru/i/4x9ZjotcN1qavg,
Да Хун Пао 105,1,6495,,0,,,
Да Хун Пао Ци Лань,1,5995,,0,,,
Жоу Гуй Ми Сян,1,3495,,0,,,
Жоу Гуй Нун Сян,1,2995,,0,,,
Да Хун Пао Синь Ван Чжу,1,4995,,0,,,
Да Хун Пао 105 Original,1,8995,,0,,,
"Шуй Цзинь Гуй, Весна 2025 г.",1,3995,,0,,,
"Да Хун Пао Цуэ Шо, Весна 2025 г.",1,5995,,0,,,
"Жоу Гуй Чжоу Гвэй, Весна 2025 г.",1,5995,,0,,,
Южно-фуцзяньский улун,,,,,,,
Хуан Цзинь Гуй 1190*,1,3995,,0,,,
Хуан Цзинь Гуй 3375*,1,3495,,0,,,
Хуан Цзинь Гуй 878*,1,3495,,0,,,
Женьшень Лан Гуи Жен,1,4995,,0,,,
Цзинь Гуанинь,1,4995,,0,,,
Тегуанинь Мао Се Ван,1,3695,,0,,,
Мао Се,1,1995,,0,,,
Тегуанинь 1с,1,1695,,0,,,
"Тегуанинь Хуа Сян, Премиум",1,7995,,0,,,
Тегуанинь Хуа Сян Гаошань,1,8995,,0,,,
Тегуанинь Цин Сян Гаошань,1,8995,,0,,,
Мао Се Тегуанинь,1,3495,,0,,,
Женьшень 1с,1,1495,,0,,,
Габа,,,,,,,
"Габа ""Морская""",1,5995,,0,,,
Габа Бай Ча Гун Мэй,1,8995,,0,,,
Габа Да Хун Пао,1,5995,,0,,,
